title,type,question,A,B,C,D,answer,image
分类,radio,membeli barang niaga,Inventori +,Inventori -,,,A,
,radio,menjual barang niaga,Inventori +,Inventori -,,,B,
,radio,membayar dengan tunai,Tunai +,Tunai -,,,B,
,radio,membayar dengan cek,Bank +,Bank -,,,B,
,radio,menerima cek,Bank +,Bank -,,,A,
,radio,menjual barang niaga secara kredit,Akaun Belum Terima +,Akaun Belum Terima -,Akaun Belum Bayar +,Akaun Belum Bayar -,A,
,radio,membeli barang niaga secara kredit,Akaun Belum Terima +,Akaun Belum Terima -,Akaun Belum Bayar +,Akaun Belum Bayar -,C,
,radio,ambil barang untuk kegunaan sendiri,Ambilan +,Ambilan -,Untung bersih +,Untung bersih -,A,
,radio,membawa masuk tunai,Modal +,Modal -,Untung bersih +,Untung bersih -,A,
,radio,membayar gaji,Modal +,Modal -,Untung bersih +,Untung bersih -,D,
,radio,membayar kadar bayaran,Modal +,Modal -,Untung bersih +,Untung bersih -,D,
,radio,menerima komisen,Modal +,Modal -,Untung bersih +,Untung bersih -,C,
,radio,menerima pinjaman,Pinjaman +,Pinjaman -,,,A,
