title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,answer,image
Akaun Untung Rugi,radio,Komisen,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,A,
,radio,Sewa diterima,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,B,
,radio,Diskaun diterima,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,C,
,radio,Faedah Simpanan Tetap,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,D,
,radio,Diskaun diberi,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,E,
,radio,Alat Tulis,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,F,
,radio,Kadar Bayaran,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,G,
,radio,Gaji,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,H,
,radio,Sewa,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,I,
,radio,Faedah Pinjaman,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,J,
,radio,Upah,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,K,
,radio,Insurans,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,L,
,radio,Untung Bersih,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,M,
,radio,Untung Kasar,佣金,租金收入,收到的折扣,定期存款利息,给予的折扣,文具,水电费,薪金(Full Time),租金,贷款利息,工资(Part Time),保险,净利,毛利,N,
