title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,answer,image
Akaun Untung Rugi,radio,Bank,银行存款,现金,期末存货/年尾的货,应收账款/负债人,定期存款,文具库存/用剩的文具,营业场所 / 房产,设备/电器,交通工具 / 车辆,家具,办公室器材,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,A,
,radio,Tunai,银行存款,现金,期末存货/年尾的货,应收账款/负债人,定期存款,文具库存/用剩的文具,营业场所 / 房产,设备/电器,交通工具 / 车辆,家具,办公室器材,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,B,
,radio,Inventori Akhir,银行存款,现金,期末存货/年尾的货,应收账款/负债人,定期存款,文具库存/用剩的文具,营业场所 / 房产,设备/电器,交通工具 / 车辆,家具,办公室器材,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,C,
,radio,Akaun Belum Terima,银行存款,现金,期末存货/年尾的货,应收账款/负债人,定期存款,文具库存/用剩的文具,营业场所 / 房产,设备/电器,交通工具 / 车辆,家具,办公室器材,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,D,
,radio,Simpanan Tetap,银行存款,现金,期末存货/年尾的货,应收账款/负债人,定期存款,文具库存/用剩的文具,营业场所 / 房产,设备/电器,交通工具 / 车辆,家具,办公室器材,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,E,
,radio,Inventori Alat Tulis,银行存款,现金,期末存货/年尾的货,应收账款/负债人,定期存款,文具库存/用剩的文具,营业场所 / 房产,设备/电器,交通工具 / 车辆,家具,办公室器材,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,F,
,radio,Akaun Belum Bayar,银行存款,现金,期末存货/年尾的货,应收账款/负债人,定期存款,文具库存/用剩的文具,营业场所 / 房产,设备/电器,交通工具 / 车辆,家具,办公室器材,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,L,
,radio,Overdraf Bank,银行存款,现金,期末存货/年尾的货,应收账款/负债人,定期存款,文具库存/用剩的文具,营业场所 / 房产,设备/电器,交通工具 / 车辆,家具,办公室器材,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,M,
,radio,Premis,银行存款,现金,期末存货/年尾的货,应收账款/负债人,定期存款,文具库存/用剩的文具,营业场所 / 房产,设备/电器,交通工具 / 车辆,家具,办公室器材,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,G,
,radio,Kelengkapan,银行存款,现金,期末存货/年尾的货,应收账款/负债人,定期存款,文具库存/用剩的文具,营业场所 / 房产,设备/电器,交通工具 / 车辆,家具,办公室器材,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,H,
,radio,Kenderaan,银行存款,现金,期末存货/年尾的货,应收账款/负债人,定期存款,文具库存/用剩的文具,营业场所 / 房产,设备/电器,交通工具 / 车辆,家具,办公室器材,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,I,
,radio,Perabot,银行存款,现金,期末存货/年尾的货,应收账款/负债人,定期存款,文具库存/用剩的文具,营业场所 / 房产,设备/电器,交通工具 / 车辆,家具,办公室器材,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,J,
,radio,Alatan Pejabat,银行存款,现金,期末存货/年尾的货,应收账款/负债人,定期存款,文具库存/用剩的文具,营业场所 / 房产,设备/电器,交通工具 / 车辆,家具,办公室器材,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,K,
,radio,Ambilan,资本,提款/老板拿公司资产,净利润,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,,,,,,,,,B,
,radio,Modal,资本,提款/老板拿公司资产,净利润,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,,,,,,,,,A,
,radio,Untung Bersih,资本,提款/老板拿公司资产,净利润,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,,,,,,,,,C,
,radio,Pinjaman,资本,提款/老板拿公司资产,净利润,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,,,,,,,,,F,
,radio,Gadai Janji,资本,提款/老板拿公司资产,净利润,应付账款/债主,银行透支,贷款,抵押贷款 / 按揭,,,,,,,,,G,
