title,type,question,A,B,C,D,E,F,G,H,I,J,K,answer,image
Kesilapan Ketara & Tidak Ketara,checkbox,哪些是 Kesilapan Ketara ?,Kesilapan pengiraan,Kesilapan pindahan,Merekodkan amaun di bahagian yang sama,Merekodkan pada satu akaun ahaja,Merekodkan amaun yang tidak sama,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,"A,B,C,D,E",
,checkbox,哪些是 Kesilapan Tidak Ketara ?,Kesilapan pengiraan,Kesilapan pindahan,Merekodkan amaun di bahagian yang sama,Merekodkan pada satu akaun ahaja,Merekodkan amaun yang tidak sama,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,"F,G,H,I,J,K",
,radio,写错名,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,B,
,radio,terlupa rekod,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,A,
,radio,进错 akaun,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,C,
,radio,数字写错,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,D,
,radio,写倒反,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,E,
,radio,dt kt 一起少写,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,F,
,radio,dt kt 一起多写,Kesilapan ketinggalan,Kesilapan komisen,Kesilapan prinsip,Kesilapan amaun,Kesilapan terbalik atau songsang,Kesilapan saling mengimbangi,,,,,,F,
,checkbox,Pemilik membawa masuk mesin pencetak bernilai RM1 650 untuk kegunaan perniagaan tetapi tidak direkodkan dalam mana-mana buku,dt: Alatan Pejabat,kt: Alatan Pejabat,dt: Modal,kt: Modal,dt: Ambilan,kt: Ambilan,,,,,,"A,D",
,checkbox,Belian sebanyak RM6 400 daripada Sofia telah direkodkan dalam Akaun Sofian,dt: Belian,kt: Belian,dt: Sofian,kt: Sofian,dt: Sofia,kt: Sofia,,,,,,"C,F",
,checkbox,Belanja membaiki komputer sebanyak RM200 telah didebitkan dalam Akaun Komputer.,dt: Komputer,kt: Komputer,dt: Belanja membaiki komputer,kt: Belanja membaiki komputer,,,,,,,,"B,C",
,checkbox,Jualan tunai RM930 tersilap rekod sebagai RM903,dt: Jualan,kt: Jualan,dt: Tunai,kt: Tunai,,,,,,,,"B,C",
,checkbox,Jualan tunai RM250 tersilap rekod sebagai RM520,dt: Jualan,kt: Jualan,dt: Tunai,kt: Tunai,,,,,,,,"A,D",
,checkbox,Membayar insurans RM120 dengan tunai direkodkan dalam Buku Tunai di bahagian debit lajur tunai dan Akaun Insurans di bahagian kredit,dt: Insurans RM120,kt: Insurans RM120,dt: Tunai RM120,kt: Tunai RM120,dt: Insurans RM240,kt: Insurans RM240,dt: Tunai RM240,kt: Tunai RM240,,,,"E,H",
,checkbox,Pulangan jualan dan pulangan belian masing-masing terlebih rekod sebanyak RM35,dt: Pulangan Jualan,kt: Pulangan Jualan,dt: Pulangan Belian,kt: Pulangan Belian,,,,,,,,"B,C",
,checkbox,Diskaun diberi dan Komisen diterima masing-masing terkurang rekod sebanyak RM50,dt: Diskaun diberi,kt: Diskaun diberi,dt: Komisen diterima,kt: Komisen diterima,,,,,,,,"A,D",
